"番剧名称","追番数","集数","上映时间"
"汪汪队立大功 第四季","30.7万追番","全26话","25年11月开播"
"汪汪队立大功 第四季 中文配音","31.1万追番","全26话","25年11月开播"
"沉默魔女 沉默魔女的秘密","70.4万追番","全13话","8月8日开播"
"没落要塞 / DECA-DENCE","192.1万追番","全12话","20年6月开播"
"河童之夏","12.5万追番","全1话","07年7月开播"
"法兰雀丝卡","10.4万追番","全24话","14年7月开播"
"法外制裁者 OAD","4.2万追番","全3话","12年12月开播"
"泡泡","41.4万追番","全1话","22年5月开播"
"波子汽水","9.6万追番","全12话","05年10月开播"
"波波罗古洛伊斯物语","5394追番","全25话","03年10月开播"
"泰迦奥特曼","69.4万追番","全26话","21年3月开播"
"泰迦奥特曼（中配）","60万追番","全26话","21年3月开播"
"泰迦奥特曼剧场版 新生代之巅（中配）","1.7万追番","全1话","22年1月开播"
"泽塔奥特曼","110.1万追番","全28话","21年3月开播"
"泽塔奥特曼（中配）","38.3万追番","全28话","21年3月开播"
"洛克人：全面充能 第一季 中文配音","9790追番","全52话","22年3月开播"
"洲崎西 THE ANIMATION","16.6万追番","全12话","15年7月开播"
"流星机学生霸","2379追番","全3话","93年8月开播"
"流汗吧！健身少女","190.2万追番","全12话","19年7月开播"
"测不准的阿波连同学","365.8万追番","全12话","22年4月开播"
"测不准的阿波连同学 中配版","8.6万追番","全12话","22年7月开播"
"测不准的阿波连同学 第二季","364.8万追番","全12话","25年4月开播"
"浜虎SD（迷你浜虎）","5.9万追番","全10话","15年11月开播"
"浦和小调","19.8万追番","全12话","15年4月开播"
"浪客剑心 -明治剑客浪漫谭- 京都动乱（新作）","106.8万追番","全23话","24年12月开播"
"浪客剑心 -明治剑客浪漫谭-（新作）","107.7万追番","全24话","23年7月开播"
"浪客剑心 星霜篇","41.2万追番","全2话","01年12月开播"
"浪漫追星社","2.4万追番","全15话","09年7月开播"
"海兽之子","63.6万追剧","2019年6月7日上映","21年3月开播"
"海天使的灯火","2.6万追番","全12话","17年7月开播"
"海岬的迷途之家","24.3万追剧","2021年8月27日上映","22年3月开播"
"海底小纵队 特别篇","4.7万追番","全9话","23年3月开播"
"海底小纵队 第一季","11.8万追番","全50话","23年6月开播"
"海底小纵队 第七季","15.8万追番","全26话","25年7月开播"
"海底小纵队 第九季","9.1万追番","全26话","24年5月开播"
"海底小纵队 第九季 英文版","6531追番","全26话","24年5月开播"
"海底小纵队 第八季","9.2万追番","全26话","24年6月开播"
"海底小纵队 第六季","1.1万追番","全26话","24年12月开播"
"海底小纵队 第十季","16万追番","全26话","25年7月开播"
"海底小纵队 第十季 英文版","15.4万追番","全26话","25年7月开播"
"海底小纵队 第四季","3.2万追番","全24话","23年6月开播"
"海月姬","29万追番","全11话","10年10月开播"
"海物语","11.7万追番","全13话","09年6月开播"
"海獭波乐 2nd","2万追番","全59话","16年4月开播"
"海獭波乐 3rd","1.9万追番","全54话","18年4月开播"
"海獭波乐 4th","1.2万追番","全50话","19年4月开播"
"海獭波乐 5th","1.5万追番","全50话","20年4月开播"
"海绵宝宝  第一季～第九季 中文配音","215.1万追番","全161话","22年1月开播"
"海绵宝宝 第一季～第九季","102.9万追番","全161话","22年1月开播"
"海绵宝宝 第十一季 中文配音","11.7万追番","全23话","24年1月开播"
"海绵宝宝 第十季","92.8万追番","全9话","24年1月开播"
"海绵宝宝 第十季 中文配音","184.7万追番","全9话","24年1月开播"
"海绵宝宝：营救大冒险","2.6万追剧","2020年8月14日上映","24年10月开播"
"海螺小姐","2.6万追番","全6674话","69年10月开播"
"消灭都市","31.7万追番","全12话","19年4月开播"
"消防员山姆","1万追番","全136话","86年1月开播"
"深夜！天才傻鹏","4.7万追番","全12话","18年7月开播"
"深夜的超自然公务员","64.4万追番","全15话","19年4月开播"
"混沌之脑","17.5万追番","全12话","08年10月开播"
"温暖的印记","73.5万追番","全10话","16年6月开播"
"温泉屋小女管家","16万追番","全24话","18年4月开播"
"温泉幼精箱根酱","17.1万追番","全13话","15年10月开播"
"游戏王 七星","1.6万追番","全92话","24年11月开播"
"游戏王剧场版 光之金字塔","6.6万追番","全1话","04年8月开播"
"湘南暴走族","2.3万追番","全12话","86年9月开播"
"湾岸MIDNIGHT","8.1万追番","全26话","07年6月开播"
"源氏物语千年纪 Genji","18.7万追番","全11话","09年1月开播"
"滑头鬼之孙","144.9万追番","全26话","10年7月开播"
"滑头鬼之孙 ～奴良组事始～","17.1万追番","全1话","13年3月开播"
"滑头鬼之孙 第一季【中文】","10.6万追番","全26话","10年7月开播"
"滑头鬼之孙 第二季","63.2万追番","全26话","11年7月开播"
"满溢的水果挞","46.4万追番","全12话","20年10月开播"
"漂流家园","3.4万追番","全1话","23年3月开播"
"漂流少年","131.8万追番","全12话","21年7月开播"
"漆黑的子弹","287.8万追番","全13话","14年4月开播"
"漫画少女","6.9万追番","全14话","13年1月开播"
"漫研部~妄想突变~","3万追番","全12话","14年7月开播"
"潜行吧！奈亚子 OVA 温柔地解决敌人的方法","32.9万追番","全1话","12年11月开播"
"潜行吧！奈亚子 Remember My Love","61.2万追番","全12话","10年12月开播"
"潜行吧！奈亚子F","29.6万追番","全1话","15年5月开播"
"潜行吧！奈亚子W OVA","20.9万追番","全1话","13年10月开播"
"激战奥雷卡","2.4万追番","全51话","14年4月开播"
"激斗战车（中文）","6641追番","全50话","01年10月开播"
"濑户的花嫁","135.4万追番","全26话","07年4月开播"
"灌篮少年","3万追番","全26话","03年4月开播"
"火之丸相扑","20.9万追番","全24话","18年10月开播"
"火影忍者剧场版：忍者之路","13.4万追剧","敬请期待","25年3月开播"
"火影忍者舞台剧","5.2万追番","全5话","16年10月开播"
"火影忍者舞台剧 虹桥艺术中心采访篇","1.6万追番","全1话","17年7月开播"
"火球 幽默之章","1.1万追番","全3话","17年10月开播"
"火球 魅力之章","1.2万追番","全13话","11年4月开播"
"灰与幻想的格林姆迦尔","192.3万追番","全12话","16年1月开播"
"灰与幻想的格林姆迦尔 OVA","14.6万追番","全1话","16年3月开播"
"灰羽联盟","9.5万追番","全13话","02年10月开播"
"灰色的迷宫","35.4万追番","全1话","15年4月开播"
"灵感！","34.6万追番","全13话","15年4月开播"
"灵犬雪丽","5536追番","全52话","10年1月开播"
"灼热乒乓妹","14.6万追番","全12话","16年10月开播"
"灼眼的夏娜","152.8万追番","全24话","05年10月开播"
"灼眼的夏娜 OVA 恋爱与温泉的校外学习！","18.5万追番","全1话","06年12月开播"
"灼眼的夏娜 剧场版","21.2万追番","全1话","07年4月开播"
"灼眼的夏娜III -Final-","44.6万追番","全24话","11年10月开播"
"灼眼的夏娜S","21.8万追番","全4话","09年10月开播"
"灼眼的夏娜炭","13万追番","全15话","06年1月开播"
"炎炎消防队","294.6万追番","全24话","19年7月开播"
"炎炎消防队 叁之章","345.5万追番","全12话","25年4月开播"
"炎炎消防队 贰之章","282.2万追番","全24话","20年7月开播"
"点满农民相关技能后，不知为何就变强了。","71.3万追番","全12话","22年10月开播"
"烟花","126.3万追剧","2017年12月1日上映","20年2月开播"
"烧窑的话也要马克杯","33.6万追番","全12话","21年4月开播"
"烧窑的话也要马克杯 第二季","43.9万追番","全12话","21年10月开播"
"热带雨林的爆笑生活","17.3万追番","全26话","01年4月开播"
"热带雨林的爆笑生活 DELUXE","5.7万追番","全12话","02年8月开播"
"热带雨林的爆笑生活 FINAL","4.9万追番","全14话","03年12月开播"
"热血人面犬","5233追番","全3话","14年7月开播"
"热血少年","113.8万追番","全10话","13年7月开播"
"热诚传说～导师的黎明～","8.5万追番","全1话","14年12月开播"
"热诚传说X","134.2万追番","全13话","16年7月开播"
"热风海陆BUSHIROAD","16.4万追番","全1话","13年12月开播"
"熊熊勇闯异世界","163.5万追番","全12话","20年10月开播"
"熊猫拍拍 应援团篇","1692追番","全12话","15年3月开播"
"熊猫拍拍 日常篇","1万追番","全13话","13年11月开播"
"熊猫拍拍 职业篇","2213追番","全12话","15年3月开播"
"熊猫拍拍 运动篇","9594追番","全11话","16年7月开播"
"熊猫拍拍 饮食篇","9700追番","全7话","16年7月开播"
"爆丸 粤语版","2.5万追番","全52话","07年4月开播"
"爆丸4 机械波涛","1.5万追番","全46话","11年2月开播"
"爆丸之星域争霸","989追番","全100话","25年9月开播"
"爆丸之星域争霸 第二季","914追番","全104话","25年11月开播"
"爆旋陀螺","1.3万追番","全50话","01年1月开播"
"爆燃战队奔奔者","29.5万追番","全48话","25年3月开播"
"爆燃战队奔奔者（中配）","3.4万追番","全48话","25年3月开播"
"爆音少女!! OAD","10.4万追番","全2话","16年3月开播"
"爱丝卡与罗吉的工作室 黄昏之空的炼金术士","15.5万追番","全12话","14年4月开播"
"爱书的下克上：为了成为图书管理员不择手段！","53.9万追番","全15话","19年10月开播"
"爱书的下克上：为了成为图书管理员不择手段！ 第二部","53.2万追番","全12话","20年4月开播"
"爱你宝贝","4.4万追番","全26话","04年4月开播"
"爱吃拉面的小泉同学","161.1万追番","全12话","18年1月开播"
"爱情泡泡糖","18.1万追番","全13话","04年10月开播"
"爱探险的朵拉 第一季 中文配音","9444追番","全25话","25年11月开播"
"爱玩怪兽","3.1万追番","全50话","18年10月开播"
"爱米 -WE LOVE RICE- 第二季","2.5万追番","全12话","2017年10月开播"
"牙-KIBA","2.3万追番","全51话","06年4月开播"
"牙狼 -炎之刻印-","22万追番","全25话","14年10月开播"
"牙狼 -红莲之月-","15.8万追番","全24话","15年10月开播"
"物之古物奇谭","69.4万追番","全24话","23年1月开播"
"物怪","4万追番","全26话","07年10月开播"
"物理魔法使-马修-","190.4万追番","全12话","23年5月开播"
"物理魔法使-马修- 神觉者候选人选拔考试篇","183.9万追番","全12话","24年2月开播"
"牵牛花与加濑同学。","83.6万追番","全3话","2018年10月开播"
"特例措置团体斯特拉女子学院高等科C3部","10.9万追番","全13话","13年7月开播"
"特利迦奥特曼","13.6万追番","全29话","22年6月开播"
"特利迦奥特曼 泽塔篇","9万追番","全1话","22年7月开播"
"特利迦奥特曼 泽塔篇（中配）","1.8万追番","全1话","22年7月开播"
"特利迦奥特曼（中配）","3.5万追番","全29话","22年6月开播"
"特别篇 吹响吧！上低音号～合奏比赛～","203.6万追番","全1话","23年12月开播"
"特工宾奇 第一季","1337追番","全52话","22年5月开播"
"犬夜叉剧场版 穿越时空的思念","340.2万追番","全1话","22年8月开播"
"犬夜叉剧场版 镜中的梦幻城","7万追番","全1话","22年8月开播"
"犬夜叉完结篇","96.0万追番","全26话","09年10月开播"
"犬神同学和猫山同学","24万追番","全13话","14年4月开播"
"狂热深渊-迷失的孩子","33.5万追番","全12话","22年3月开播"
"狗与剪刀的正确用法","102.9万追番","全12话","13年7月开播"
"狡猾飞天德","2万追番","全54话","91年9月开播"
"狩龙人拉格纳","82.7万追番","全24话","23年10月开播"
"独自生活的小学生","5.9万追番","全10话","17年10月开播"
"独角兽骑士队","1032追番","全19话","25年2月开播"
"独角兽骑士队 中文配音","974追番","全19话","25年2月开播"
"狮子王辛巴","1.3万追番","全52话","23年3月开播"
"狮子王辛巴 中文配音","1.5万追番","全52话","23年3月开播"
"狼与香辛料 第二季","60.9万追番","全13话","09年7月开播"
"狼少女与黑王子","53.1万追番","全13话","14年10月开播"
"狼雨","22.4万追番","全30话","03年1月开播"
"猎人 剧场版 最后的任务","13.8万追番","全1话","13年12月开播"
